NO,COIN_ID,COIN_NAME,USD_PRICE,REG_DATE
79,HSS,HashSare,0.02587,2020-12-03 18:00
78,HSS,HashSare,0.0238,2020-12-03 6:00
77,HSS,HashSare,0.02369,2020-12-03 0:00
76,HSS,HashSare,0.02266,2020-12-02 6:00
75,HSS,HashSare,0.02263,2020-12-02 0:00
74,HSS,HashSare,0.02256,2020-12-01 18:00
73,HSS,HashSare,0.02223,2020-12-01 6:00
72,HSS,HashSare,0.02221,2020-11-30 18:00
71,HSS,HashSare,0.0222,2020-11-30 12:00
70,HSS,HashSare,0.02232,2020-11-30 6:00
69,HSS,HashSare,0.02188,2020-11-29 18:00
68,HSS,HashSare,0.02166,2020-11-29 12:00
67,HSS,HashSare,0.0216,2020-11-29 6:00
66,HSS,HashSare,0.02146,2020-11-29 0:00
65,HSS,HashSare,0.02272,2020-11-28 12:00
64,HSS,HashSare,0.02227,2020-11-28 6:00
63,HSS,HashSare,0.02297,2020-11-28 0:00
62,HSS,HashSare,0.02194,2020-11-27 18:00
61,HSS,HashSare,0.02168,2020-11-27 12:00
60,HSS,HashSare,0.02145,2020-11-27 6:00
59,HSS,HashSare,0.02142,2020-11-27 0:00
58,HSS,HashSare,0.02227,2020-11-26 18:00
57,HSS,HashSare,0.02138,2020-11-26 12:00
56,HSS,HashSare,0.02109,2020-11-26 6:00
55,HSS,HashSare,0.02161,2020-11-26 0:00
54,HSS,HashSare,0.0196,2020-11-25 12:00
53,HSS,HashSare,0.01981,2020-11-25 6:00
52,HSS,HashSare,0.01986,2020-11-25 0:00
51,HSS,HashSare,0.02103,2020-11-24 12:00
50,HSS,HashSare,0.02142,2020-11-24 6:00
49,HSS,HashSare,0.02203,2020-11-24 0:00
48,HSS,HashSare,0.02202,2020-11-23 18:00
47,HSS,HashSare,0.02237,2020-11-23 12:00
46,HSS,HashSare,0.02229,2020-11-23 6:00
45,HSS,HashSare,0.02277,2020-11-23 0:00
44,HSS,HashSare,0.02262,2020-11-22 18:00
43,HSS,HashSare,0.02255,2020-11-22 12:00
42,HSS,HashSare,0.02264,2020-11-22 6:00
41,HSS,HashSare,0.02261,2020-11-22 0:00
40,HSS,HashSare,0.02288,2020-11-21 18:00
39,HSS,HashSare,0.02285,2020-11-21 12:00
38,HSS,HashSare,0.02284,2020-11-21 6:00
37,HSS,HashSare,0.02293,2020-11-21 0:00
36,HSS,HashSare,0.02313,2020-11-20 18:00
35,HSS,HashSare,0.02315,2020-11-20 12:00
34,HSS,HashSare,0.02311,2020-11-20 0:00
33,HSS,HashSare,0.02323,2020-11-19 12:00
32,HSS,HashSare,0.02335,2020-11-19 9:00
31,HSS,HashSare,0.02328,2020-11-19 0:00
30,HSS,HashSare,0.02333,2020-11-18 21:00
29,HSS,HashSare,0.02329,2020-11-18 20:00
28,HSS,HashSare,0.01961,2020-11-18 8:00
27,HSS,HashSare,0.02276,2020-11-18 2:00
26,HSS,HashSare,0.02304,2020-11-17 23:00
25,HSS,HashSare,0.02305,2020-11-17 8:00
24,HSS,HashSare,0.0232,2020-11-17 5:00
23,HSS,HashSare,0.02303,2020-11-17 2:00
22,HSS,HashSare,0.02313,2020-11-16 23:00
21,HSS,HashSare,0.02284,2020-11-16 20:00
20,HSS,HashSare,0.0232,2020-11-16 14:00
19,HSS,HashSare,0.02239,2020-11-16 8:00
18,HSS,HashSare,0.02235,2020-11-15 20:00
17,HSS,HashSare,0.02277,2020-11-15 8:00
16,HSS,HashSare,0.02277,2020-11-15 5:00
15,HSS,HashSare,0.02391,2020-11-15 2:00
14,HSS,HashSare,0.02327,2020-11-14 23:00
13,HSS,HashSare,0.02394,2020-11-14 20:00
12,HSS,HashSare,0.02358,2020-11-14 17:00
11,HSS,HashSare,0.0236,2020-11-14 14:00
10,HSS,HashSare,0.0235,2020-11-14 11:00
9,HSS,HashSare,0.02378,2020-11-14 8:00
8,HSS,HashSare,0.02642,2020-11-14 5:00
7,HSS,HashSare,0.0233,2020-11-13 20:00
6,HSS,HashSare,0.02437,2020-11-13 14:00
5,HSS,HashSare,0.02574,2020-11-13 8:00
4,HSS,HashSare,0.02527,2020-11-13 5:00
3,HSS,HashSare,0.02613,2020-11-13 2:00
614,BTC,Bitcoin,18433.82,2020-12-10 18:00
613,BTC,Bitcoin,18386.01,2020-12-10 12:00
612,BTC,Bitcoin,18341.01,2020-12-10 6:00
611,BTC,Bitcoin,17955.78,2020-12-09 18:00
610,BTC,Bitcoin,18281.25,2020-12-09 12:00
609,BTC,Bitcoin,18742.63,2020-12-09 6:00
608,BTC,Bitcoin,18865,2020-12-09 0:00
607,BTC,Bitcoin,19069.96,2020-12-08 18:00
606,BTC,Bitcoin,19050.63,2020-12-08 6:00
605,BTC,Bitcoin,19250.84,2020-12-07 18:00
604,BTC,Bitcoin,19168.73,2020-12-07 6:00
603,BTC,Bitcoin,19018.2,2020-12-06 18:00
602,BTC,Bitcoin,19149.89,2020-12-05 18:00
601,BTC,Bitcoin,18789.65,2020-12-05 12:00
600,BTC,Bitcoin,18962.52,2020-12-05 6:00
599,BTC,Bitcoin,19388.89,2020-12-04 18:00
598,BTC,Bitcoin,19251.91,2020-12-04 12:00
597,BTC,Bitcoin,19351.32,2020-12-04 0:00
596,BTC,Bitcoin,19378.78,2020-12-03 18:00
595,BTC,Bitcoin,19041.51,2020-12-03 12:00
594,BTC,Bitcoin,18910.89,2020-12-03 0:00
593,BTC,Bitcoin,19195.52,2020-12-02 18:00
592,BTC,Bitcoin,18675.59,2020-12-02 12:00
591,BTC,Bitcoin,19283.77,2020-12-02 0:00
590,BTC,Bitcoin,19438.7,2020-12-01 6:00
589,BTC,Bitcoin,18462.69,2020-11-30 18:00
588,BTC,Bitcoin,18207.37,2020-11-30 6:00
587,BTC,Bitcoin,18144.98,2020-11-29 18:00
586,BTC,Bitcoin,17673.2,2020-11-29 6:00
585,BTC,Bitcoin,16881.84,2020-11-28 18:00
584,BTC,Bitcoin,17067.14,2020-11-28 6:00
583,BTC,Bitcoin,16850.85,2020-11-27 18:00
582,BTC,Bitcoin,17134.8,2020-11-27 6:00
581,BTC,Bitcoin,16863.5,2020-11-26 18:00
580,BTC,Bitcoin,18902.38,2020-11-26 6:00
579,BTC,Bitcoin,19115.17,2020-11-25 18:00
578,BTC,Bitcoin,18975.81,2020-11-25 12:00
577,BTC,Bitcoin,19384.42,2020-11-25 0:00
576,BTC,Bitcoin,18336.16,2020-11-24 12:00
575,BTC,Bitcoin,18372,2020-11-24 6:00
574,BTC,Bitcoin,18212.56,2020-11-22 18:00
573,BTC,Bitcoin,18585.44,2020-11-22 12:00
572,BTC,Bitcoin,18652.09,2020-11-22 6:00
571,BTC,Bitcoin,18115.35,2020-11-20 0:00
570,BTC,Bitcoin,17533.42,2020-11-19 18:00
569,BTC,Bitcoin,17929.07,2020-11-19 12:00
568,BTC,Bitcoin,17642.92,2020-11-19 6:00
567,BTC,Bitcoin,17685.05,2020-11-19 0:00
566,BTC,Bitcoin,18251.88,2020-11-18 20:00
565,BTC,Bitcoin,17597.36,2020-11-18 8:00
564,BTC,Bitcoin,16763.46,2020-11-17 20:00
563,BTC,Bitcoin,16716.82,2020-11-17 8:00
562,BTC,Bitcoin,16566.59,2020-11-17 2:00
561,BTC,Bitcoin,16384.59,2020-11-16 20:00
560,BTC,Bitcoin,16034.46,2020-11-16 14:00
559,BTC,Bitcoin,16002.22,2020-11-16 2:00
558,BTC,Bitcoin,15992.07,2020-11-15 20:00
557,BTC,Bitcoin,15936.88,2020-11-15 14:00
556,BTC,Bitcoin,16033.85,2020-11-15 8:00
555,BTC,Bitcoin,15846.51,2020-11-14 20:00
554,BTC,Bitcoin,16309.71,2020-11-14 8:00
553,BTC,Bitcoin,16201.57,2020-11-13 20:00
552,BTC,Bitcoin,16225.67,2020-11-13 8:00
