"PT_CODE","USER_ID","PRODUCT_CD","PRODUCT_TYPE","PRODUCT_STATE","PRODUCT_THS","AP_DATE","GD_DATE","ST_COIN","CRT_USD","AUTO_SHIP","REG_DATE","REG_USER","UP_DATE","UP_USER","USE_FLAG"
"PT2020121900051","totoro2","PDT32","M","P","20","2020-12-19 22:29:09",\n,"0.05220553","1200","N","2020-12-19 22:28:54","totoro2","2020-12-19 22:29:09","totoro2","Y"
"PT2020121900050","koko1","PDT32","M","P","20","2020-12-19 22:15:42",\n,"0.05220553","1200","N","2020-12-19 22:15:31","koko1","2020-12-19 22:15:42","koko1","Y"
"PT2020121900049","hssup1","PDT31","M","P","8","2020-12-19 22:15:05",\n,"0.02088221","480","N","2020-12-19 22:14:49","hssup1","2020-12-19 22:15:05","hssup1","Y"
"PT2020121900048","hssup","PDT30","M","P","2","2020-12-19 22:13:57",\n,"0.00522055","120","N","2020-12-19 22:13:48","hssup","2020-12-19 22:13:57","hssup","Y"
"PT2020121900047","hssup","PDT31","M","P","8","2020-12-19 22:14:13",\n,"0.02088221","480","N","2020-12-19 22:13:42","hssup","2020-12-19 22:14:13","hssup","Y"
"PT2020121900046","hssup","PDT31","M","P","8","2020-12-19 22:14:06",\n,"0.02088221","480","N","2020-12-19 22:13:42","hssup","2020-12-19 22:14:06","hssup","Y"
"PT2020121900045","totoro1","PDT32","M","P","20","2020-12-19 22:12:29",\n,"0.05220553","1200","N","2020-12-19 22:12:18","totoro1","2020-12-19 22:12:29","totoro1","Y"
"PT2020121900044","gogo777","PDT30","M","P","2","2020-12-19 22:10:47",\n,"0.00522055","120","N","2020-12-19 22:10:32","gogo777","2020-12-19 22:10:47","gogo777","Y"
"PT2020121900043","gogo777","PDT30","M","P","2","2020-12-19 22:10:42",\n,"0.00522055","120","N","2020-12-19 22:10:32","gogo777","2020-12-19 22:10:42","gogo777","Y"
"PT2020121900042","gogo777","PDT31","M","P","8","2020-12-19 22:10:53",\n,"0.02088221","480","N","2020-12-19 22:10:28","gogo777","2020-12-19 22:10:53","gogo777","Y"
"PT2020121900041","hashshare1","PDT33","M","P","50","2020-12-19 21:29:06",\n,"0.13051382","3000","N","2020-12-19 21:28:41","hashshare1","2020-12-19 21:29:06","hashshare1","Y"
"PT2020121900040","applle68","PDT33","M","P","50","2020-12-19 12:12:55",\n,"0.12922523","3000","N","2020-12-19 12:12:35","applle68","2020-12-19 12:12:55","applle68","Y"
"PT2020121900039","applle67","PDT33","M","P","50","2020-12-19 12:12:12",\n,"0.12922523","3000","N","2020-12-19 12:11:58","applle67","2020-12-19 12:12:12","applle67","Y"
"PT2020121900038","applle66","PDT33","M","P","50","2020-12-19 12:11:34",\n,"0.12922523","3000","N","2020-12-19 12:11:22","applle66","2020-12-19 12:11:34","applle66","Y"
"PT2020121900037","applle65","PDT33","M","P","50","2020-12-19 12:10:57",\n,"0.12922523","3000","N","2020-12-19 12:10:46","applle65","2020-12-19 12:10:57","applle65","Y"
"PT2020121900036","applle76","PDT33","M","P","50","2020-12-19 12:10:17",\n,"0.12922523","3000","N","2020-12-19 12:10:01","applle76","2020-12-19 12:10:17","applle76","Y"
"PT2020121900035","applle75","PDT33","M","P","50","2020-12-19 12:09:34",\n,"0.12922523","3000","N","2020-12-19 12:09:08","applle75","2020-12-19 12:09:34","applle75","Y"
"PT2020121900034","applle74","PDT33","M","P","50","2020-12-19 12:08:28",\n,"0.12922523","3000","N","2020-12-19 12:08:12","applle74","2020-12-19 12:08:28","applle74","Y"
"PT2020121900033","applle73","PDT33","M","P","50","2020-12-19 12:07:39",\n,"0.12922523","3000","N","2020-12-19 12:07:19","applle73","2020-12-19 12:07:39","applle73","Y"
"PT2020121900032","applle84","PDT33","M","P","50","2020-12-19 12:02:08",\n,"0.12922523","3000","N","2020-12-19 12:01:54","applle84","2020-12-19 12:02:08","applle84","Y"
"PT2020121900031","applle83","PDT33","M","P","50","2020-12-19 12:01:22",\n,"0.12922523","3000","N","2020-12-19 12:01:06","applle83","2020-12-19 12:01:22","applle83","Y"
"PT2020121900030","applle82","PDT33","M","P","50","2020-12-19 12:00:40",\n,"0.12917654","3000","N","2020-12-19 12:00:21","applle82","2020-12-19 12:00:40","applle82","Y"
"PT2020121900029","applle81","PDT33","M","P","50","2020-12-19 11:59:49",\n,"0.13174362","3000","N","2020-12-19 11:59:29","applle81","2020-12-19 11:59:49","applle81","Y"
"PT2020121900028","applle92","PDT33","M","P","50","2020-12-19 11:58:48",\n,"0.13174362","3000","N","2020-12-19 11:58:30","applle92","2020-12-19 11:58:48","applle92","Y"
"PT2020121900027","applle91","PDT33","M","P","50","2020-12-19 11:58:06",\n,"0.13174362","3000","N","2020-12-19 11:57:55","applle91","2020-12-19 11:58:06","applle91","Y"
"PT2020121900026","applle88","PDT33","M","P","50","2020-12-19 11:57:01",\n,"0.13174362","3000","N","2020-12-19 11:56:43","applle88","2020-12-19 11:57:01","applle88","Y"
"PT2020121900025","applle87","PDT33","M","P","50","2020-12-19 11:56:16",\n,"0.13174362","3000","N","2020-12-19 11:55:55","applle87","2020-12-19 11:56:16","applle87","Y"
"PT2020121900024","applle72","PDT33","M","P","50","2020-12-19 11:45:17",\n,"0.13174362","3000","N","2020-12-19 11:45:00","applle72","2020-12-19 11:45:17","applle72","Y"
"PT2020121900023","gold1","PDT33","M","P","50","2020-12-19 11:38:53",\n,"0.13174362","3000","N","2020-12-19 11:38:37","gold1","2020-12-19 11:38:53","gold1","Y"
"PT2020121900022","hash22","PDT33","M","P","50","2020-12-19 11:37:58",\n,"0.13174362","3000","N","2020-12-19 11:37:35","hash22","2020-12-19 11:37:58","hash22","Y"
"PT2020121900021","pure888","PDT32","M","P","20","2020-12-19 11:33:36",\n,"0.05269745","1200","N","2020-12-19 11:33:19","pure888","2020-12-19 11:33:36","pure888","Y"
"PT2020121900020","pure88","PDT32","M","P","20","2020-12-19 11:32:44",\n,"0.05269745","1200","N","2020-12-19 11:32:32","pure88","2020-12-19 11:32:44","pure88","Y"
"PT2020121900019","pure777","PDT32","M","P","20","2020-12-19 11:30:48",\n,"0.05269745","1200","N","2020-12-19 11:30:37","pure777","2020-12-19 11:30:48","pure777","Y"
"PT2020121900018","pure77","PDT32","M","P","20","2020-12-19 11:30:04",\n,"0.05269745","1200","N","2020-12-19 11:29:49","pure77","2020-12-19 11:30:04","pure77","Y"
"PT2020121900017","applle85","PDT33","M","P","50","2020-12-19 11:22:50",\n,"0.13174362","3000","N","2020-12-19 11:22:39","applle85","2020-12-19 11:22:50","applle85","Y"
"PT2020121900016","applle86","PDT33","M","P","50","2020-12-19 11:22:02",\n,"0.13174362","3000","N","2020-12-19 11:21:51","applle86","2020-12-19 11:22:02","applle86","Y"
"PT2020121900015","applle89","PDT33","M","P","50","2020-12-19 11:21:22",\n,"0.13174362","3000","N","2020-12-19 11:21:06","applle89","2020-12-19 11:21:22","applle89","Y"
"PT2020121900014","applle90","PDT33","M","P","50","2020-12-19 11:20:43",\n,"0.13174362","3000","N","2020-12-19 11:20:30","applle90","2020-12-19 11:20:43","applle90","Y"
"PT2020121900013","applle77","PDT33","M","P","50","2020-12-19 11:20:06",\n,"0.13174362","3000","N","2020-12-19 11:19:56","applle77","2020-12-19 11:20:06","applle77","Y"
"PT2020121900012","applle78","PDT33","M","P","50","2020-12-19 11:19:30",\n,"0.13174362","3000","N","2020-12-19 11:19:19","applle78","2020-12-19 11:19:30","applle78","Y"
"PT2020121900011","applle79","PDT33","M","P","50","2020-12-19 11:18:55",\n,"0.13174362","3000","N","2020-12-19 11:18:44","applle79","2020-12-19 11:18:55","applle79","Y"
"PT2020121900010","applle80","PDT33","M","P","50","2020-12-19 11:18:17",\n,"0.13174362","3000","N","2020-12-19 11:17:53","applle80","2020-12-19 11:18:17","applle80","Y"
"PT2020121900009","applle69","PDT33","M","P","50","2020-12-19 11:17:25",\n,"0.13174362","3000","N","2020-12-19 11:17:13","applle69","2020-12-19 11:17:25","applle69","Y"
"PT2020121900008","applle70","PDT33","M","P","50","2020-12-19 11:16:46",\n,"0.13174362","3000","N","2020-12-19 11:16:26","applle70","2020-12-19 11:16:46","applle70","Y"
"PT2020121900007","applle71","PDT33","M","P","50","2020-12-19 11:15:31",\n,"0.13174362","3000","N","2020-12-19 11:15:18","applle71","2020-12-19 11:15:31","applle71","Y"
"PT2020121900006","applle64","PDT33","M","P","50","2020-12-19 11:53:42",\n,"0.13174362","3000","N","2020-12-19 11:14:50","applle64","2020-12-19 11:53:42","applle64","Y"
"PT2020121900005","applle63","PDT33","M","P","50","2020-12-19 11:14:26",\n,"0.13174362","3000","N","2020-12-19 11:14:13","applle63","2020-12-19 11:14:26","applle63","Y"
"PT2020121900004","applle62","PDT33","M","P","50","2020-12-19 11:13:47",\n,"0.13174362","3000","N","2020-12-19 11:13:29","applle62","2020-12-19 11:13:47","applle62","Y"
"PT2020121900003","applle61","PDT33","M","P","50","2020-12-19 11:12:57",\n,"0.13174362","3000","N","2020-12-19 11:12:14","applle61","2020-12-19 11:12:57","applle61","Y"
"PT2020121900002","hstest","PDT00","M","C","2",\n,\n,"0.00526974","120","N","2020-12-19 10:02:01","hstest","2020-12-19 10:02:47","admin","Y"
"PT2020121900001","hstest","PDT30","M","C","2",\n,\n,"0.00526974","120","N","2020-12-19 10:01:32","hstest","2020-12-19 10:02:47","admin","Y"
"PT2020121800012","hash11","PDT33","M","P","50","2020-12-18 16:34:27",\n,"0.13041232","3000","N","2020-12-18 16:34:08","hash11","2020-12-18 16:34:27","hash11","Y"
"PT2020121800011","hash02","PDT33","M","P","50","2020-12-18 14:40:56",\n,"0.13041232","3000","N","2020-12-18 14:40:42","hash02","2020-12-18 14:40:56","hash02","Y"
"PT2020121800010","hash01","PDT33","M","P","50","2020-12-18 14:40:10",\n,"0.13041232","3000","N","2020-12-18 14:39:52","hash01","2020-12-18 14:40:10","hash01","Y"
"PT2020121800009","hash1","PDT33","M","P","50","2020-12-18 14:29:21",\n,"0.13041232","3000","N","2020-12-18 14:29:01","hash1","2020-12-18 14:29:21","hash1","Y"
"PT2020121800008","smart222","PDT33","M","P","50","2020-12-18 14:11:13",\n,"0.13041232","3000","N","2020-12-18 14:10:49","smart222","2020-12-18 14:11:13","smart222","Y"
"PT2020121800007","smart111","PDT33","M","P","50","2020-12-18 14:10:02",\n,"0.13041232","3000","N","2020-12-18 14:09:29","smart111","2020-12-18 14:10:02","smart111","Y"
"PT2020121800006","ssm00b","PDT32","M","P","20","2020-12-18 00:24:15",\n,"0.05190892","1200","N","2020-12-18 00:24:04","ssm00b","2020-12-18 00:24:15","ssm00b","Y"
"PT2020121800005","ssm008","PDT32","M","P","20","2020-12-18 00:23:35",\n,"0.05190892","1200","N","2020-12-18 00:23:23","ssm008","2020-12-18 00:23:35","ssm008","Y"
"PT2020121800004","ssm00a","PDT32","M","P","20","2020-12-18 00:21:56",\n,"0.05190892","1200","N","2020-12-18 00:21:43","ssm00a","2020-12-18 00:21:56","ssm00a","Y"
"PT2020121800003","ssm007","PDT32","M","P","20","2020-12-18 00:21:00",\n,"0.05190892","1200","N","2020-12-18 00:20:49","ssm007","2020-12-18 00:21:00","ssm007","Y"
"PT2020121800002","han09","PDT34","M","P","120","2020-12-18 00:21:00",\n,"0.31145357","7200","N","2020-12-18 00:20:36","han09","2020-12-18 00:21:00","han09","Y"
"PT2020121800001","han08","PDT34","M","P","120","2020-12-18 00:18:20",\n,"0.31145357","7200","N","2020-12-18 00:17:53","han08","2020-12-18 00:18:20","han08","Y"
"PT2020121700036","top001","PDT32","M","P","20","2020-12-17 23:56:22",\n,"0.05233843","1200","N","2020-12-17 23:55:56","top001","2020-12-17 23:56:22","top001","Y"
"PT2020121700035","top001","PDT33","M","P","50","2020-12-17 23:56:13",\n,"0.13084609","3000","N","2020-12-17 23:55:45","top001","2020-12-17 23:56:13","top001","Y"
"PT2020121700034","rose222","PDT33","M","P","50","2020-12-17 23:52:42",\n,"0.13084609","3000","N","2020-12-17 23:52:28","rose222","2020-12-17 23:52:42","rose222","Y"
"PT2020121700033","rose22","PDT33","M","P","50","2020-12-17 23:51:53",\n,"0.13084609","3000","N","2020-12-17 23:51:13","rose22","2020-12-17 23:51:53","rose22","Y"
"PT2020121700032","rose2","PDT33","M","P","50","2020-12-17 23:43:34",\n,"0.13084609","3000","N","2020-12-17 23:43:14","rose2","2020-12-17 23:43:34","rose2","Y"
"PT2020121700031","smart015","PDT33","M","P","50","2020-12-17 23:24:00",\n,"0.13084609","3000","N","2020-12-17 23:23:44","smart015","2020-12-17 23:24:00","smart015","Y"
"PT2020121700030","smart014","PDT33","M","P","50","2020-12-17 23:21:54",\n,"0.13084609","3000","N","2020-12-17 23:21:37","smart014","2020-12-17 23:21:54","smart014","Y"
"PT2020121700029","smart013","PDT33","M","P","50","2020-12-17 23:14:53",\n,"0.13084609","3000","N","2020-12-17 23:14:37","smart013","2020-12-17 23:14:53","smart013","Y"
"PT2020121700028","smart22","PDT33","M","P","50","2020-12-17 23:01:20",\n,"0.13084609","3000","N","2020-12-17 23:00:11","smart22","2020-12-17 23:01:20","smart22","Y"
"PT2020121700027","smart012","PDT33","M","P","50","2020-12-17 22:59:37",\n,"0.13084609","3000","N","2020-12-17 22:59:23","smart012","2020-12-17 22:59:37","smart012","Y"
"PT2020121700026","smart11","PDT33","M","P","50","2020-12-17 22:58:06",\n,"0.13084609","3000","N","2020-12-17 22:57:48","smart11","2020-12-17 22:58:06","smart11","Y"
"PT2020121700025","smart1","PDT33","M","P","50","2020-12-17 22:44:25",\n,"0.13084609","3000","N","2020-12-17 22:44:06","smart1","2020-12-17 22:44:25","smart1","Y"
"PT2020121700024","ajmsky","PDT01","M","P","8","2020-12-17 21:58:51",\n,"0.02093536","480","N","2020-12-17 21:58:11","ajmsky","2020-12-17 21:58:51","ajmsky","Y"
"PT2020121700023","ssm004","PDT33","M","P","50","2020-12-17 18:06:45",\n,"0.13084609","3000","N","2020-12-17 18:06:23","ssm004","2020-12-17 18:06:45","ssm004","Y"
"PT2020121700022","ssm003","PDT33","M","P","50","2020-12-17 18:05:30",\n,"0.13084609","3000","N","2020-12-17 18:05:08","ssm003","2020-12-17 18:05:30","ssm003","Y"
"PT2020121700021","ssm005","PDT33","M","P","50","2020-12-17 17:52:25",\n,"0.13683397","3000","N","2020-12-17 17:52:04","ssm005","2020-12-17 17:52:25","ssm005","Y"
"PT2020121700020","ssm006","PDT33","M","P","50","2020-12-17 17:51:31",\n,"0.13683397","3000","N","2020-12-17 17:50:59","ssm006","2020-12-17 17:51:31","ssm006","Y"
"PT2020121700019","Topbtc","PDT32","M","P","20","2020-12-17 17:50:28",\n,"0.05473358","1200","N","2020-12-17 17:49:59","Topbtc","2020-12-17 17:50:28","Topbtc","Y"
"PT2020121700018","Topbtc","PDT31","M","P","8","2020-12-17 17:50:24",\n,"0.02189343","480","N","2020-12-17 17:49:52","Topbtc","2020-12-17 17:50:24","Topbtc","Y"
"PT2020121700017","Topbtc","PDT30","M","P","2","2020-12-17 17:50:21",\n,"0.00547335","120","N","2020-12-17 17:49:46","Topbtc","2020-12-17 17:50:21","Topbtc","Y"
"PT2020121700016","protectm6","PDT32","M","P","20","2020-12-17 17:33:34",\n,"0.05473358","1200","N","2020-12-17 17:33:01","protectm6","2020-12-17 17:33:34","protectm6","Y"
"PT2020121700015","good33","PDT33","M","P","50","2020-12-17 17:32:03",\n,"0.13683397","3000","N","2020-12-17 17:31:17","good33","2020-12-17 17:32:03","good33","Y"
"PT2020121700014","ssm002","PDT33","M","P","50","2020-12-17 17:31:03",\n,"0.13683397","3000","N","2020-12-17 17:30:47","ssm002","2020-12-17 17:31:03","ssm002","Y"
"PT2020121700013","jjstar1","PDT33","M","P","50","2020-12-17 17:29:59",\n,"0.13683397","3000","N","2020-12-17 17:29:41","jjstar1","2020-12-17 17:29:59","jjstar1","Y"
"PT2020121700012","ssm001","PDT33","M","P","50","2020-12-17 17:28:41",\n,"0.13683397","3000","N","2020-12-17 17:28:17","ssm001","2020-12-17 17:28:41","ssm001","Y"
"PT2020121700011","wjddlf3","PDT33","M","P","50","2020-12-17 17:26:31",\n,"0.13683397","3000","N","2020-12-17 17:26:20","wjddlf3","2020-12-17 17:26:31","wjddlf3","Y"
"PT2020121700010","wjddlf2","PDT33","M","P","50","2020-12-17 17:23:48",\n,"0.13683397","3000","N","2020-12-17 17:23:21","wjddlf2","2020-12-17 17:23:48","wjddlf2","Y"
"PT2020121700009","wjddlf1","PDT33","M","P","50","2020-12-17 17:17:19",\n,"0.13683397","3000","N","2020-12-17 17:17:07","wjddlf1","2020-12-17 17:17:19","wjddlf1","Y"
"PT2020121700008","govl10","PDT33","M","P","50","2020-12-17 17:15:50",\n,"0.13683397","3000","N","2020-12-17 17:15:24","govl10","2020-12-17 17:15:50","govl10","Y"
"PT2020121700007","govl9","PDT33","M","P","50","2020-12-17 17:12:56",\n,"0.13683397","3000","N","2020-12-17 17:12:37","govl9","2020-12-17 17:12:56","govl9","Y"
"PT2020121700006","good111","PDT33","M","P","50","2020-12-17 13:50:18",\n,"0.13683397","3000","N","2020-12-17 13:49:44","good111","2020-12-17 13:50:18","good111","Y"
"PT2020121700005","good22","PDT33","M","P","50","2020-12-17 13:49:00",\n,"0.13683397","3000","N","2020-12-17 13:47:46","good22","2020-12-17 13:49:00","good22","Y"
"PT2020121700004","han04","PDT34","M","P","120","2020-12-17 01:24:13",\n,"0.34937684","7200","N","2020-12-17 01:23:55","han04","2020-12-17 01:24:13","han04","Y"
"PT2020121700003","han12","PDT34","M","P","120","2020-12-17 01:15:30",\n,"0.34937684","7200","N","2020-12-17 01:15:06","han12","2020-12-17 01:15:30","han12","Y"
"PT2020121700002","han11","PDT34","M","P","120","2020-12-17 01:14:01",\n,"0.34937684","7200","N","2020-12-17 01:13:40","han11","2020-12-17 01:14:01","han11","Y"
"PT2020121700001","han10","PDT34","M","P","120","2020-12-17 01:12:12",\n,"0.34937684","7200","N","2020-12-17 01:11:57","han10","2020-12-17 01:12:12","han10","Y"
"PT2020121600014","govl08","PDT33","M","P","50","2020-12-16 23:42:14",\n,"0.15402213","3000","N","2020-12-16 23:41:55","govl08","2020-12-16 23:42:14","govl08","Y"
"PT2020121600013","govl7","PDT33","M","P","50","2020-12-16 23:10:41",\n,"0.15402213","3000","N","2020-12-16 23:10:27","govl7","2020-12-16 23:10:41","govl7","Y"
"PT2020121600012","govl6","PDT33","M","P","50","2020-12-16 23:09:57",\n,"0.15402213","3000","N","2020-12-16 23:09:29","govl6","2020-12-16 23:09:57","govl6","Y"
"PT2020121600011","govl5","PDT33","M","P","50","2020-12-16 22:53:40",\n,"0.15402213","3000","N","2020-12-16 22:53:26","govl5","2020-12-16 22:53:40","govl5","Y"
"PT2020121600010","protectm4","PDT32","M","P","20","2020-12-16 22:31:24",\n,"0.06160885","1200","N","2020-12-16 22:30:53","protectm4","2020-12-16 22:31:24","protectm4","Y"
"PT2020121600009","protectm3","PDT32","M","P","20","2020-12-16 22:30:14",\n,"0.06160885","1200","N","2020-12-16 22:29:50","protectm3","2020-12-16 22:30:14","protectm3","Y"
"PT2020121600008","protectm2","PDT32","M","P","20","2020-12-16 22:28:55",\n,"0.06160885","1200","N","2020-12-16 22:28:21","protectm2","2020-12-16 22:28:55","protectm2","Y"
"PT2020121600007","you1004","PDT30","M","P","2","2020-12-16 17:25:58",\n,"0.00616854","120","N","2020-12-16 17:25:01","you1004","2020-12-16 17:25:58","you1004","Y"
"PT2020121600006","you1004","PDT30","M","P","2","2020-12-16 17:26:04",\n,"0.00616854","120","N","2020-12-16 17:25:01","you1004","2020-12-16 17:26:04","you1004","Y"
"PT2020121600005","you1004","PDT30","M","P","2","2020-12-16 17:25:29",\n,"0.00616854","120","N","2020-12-16 17:25:00","you1004","2020-12-16 17:25:29","you1004","Y"
"PT2020121600004","you1004","PDT30","M","P","2","2020-12-16 17:25:35",\n,"0.00616854","120","N","2020-12-16 17:25:00","you1004","2020-12-16 17:25:35","you1004","Y"
"PT2020121600003","you1004","PDT30","M","P","2","2020-12-16 17:25:43",\n,"0.00616854","120","N","2020-12-16 17:25:00","you1004","2020-12-16 17:25:43","you1004","Y"
"PT2020121600002","you1004","PDT30","M","P","2","2020-12-16 17:25:50",\n,"0.00616854","120","N","2020-12-16 17:25:00","you1004","2020-12-16 17:25:50","you1004","Y"
"PT2020121600001","psh5255","PDT30","M","P","2","2020-12-16 16:26:38",\n,"0.00616854","120","N","2020-12-16 16:25:54","psh5255","2020-12-16 16:26:38","psh5255","Y"
"PT2020121500027","smart011","PDT33","M","P","50","2020-12-15 18:09:48",\n,"0.15679166","3000","N","2020-12-15 18:09:34","smart011","2020-12-15 18:09:48","smart011","Y"
"PT2020121500026","smart010","PDT33","M","P","50","2020-12-15 18:09:11",\n,"0.15679166","3000","N","2020-12-15 18:08:54","smart010","2020-12-15 18:09:11","smart010","Y"
"PT2020121500025","smart009","PDT33","M","P","50","2020-12-15 18:08:22",\n,"0.15679166","3000","N","2020-12-15 18:08:04","smart009","2020-12-15 18:08:22","smart009","Y"
"PT2020121500024","smart008","PDT33","M","P","50","2020-12-15 15:07:08",\n,"0.15615248","3000","N","2020-12-15 15:06:50","smart008","2020-12-15 15:07:08","smart008","Y"
"PT2020121500023","smart007","PDT33","M","P","50","2020-12-15 15:00:20",\n,"0.15615248","3000","N","2020-12-15 15:00:08","smart007","2020-12-15 15:00:20","smart007","Y"
"PT2020121500022","govl4","PDT33","M","P","50","2020-12-15 14:58:56",\n,"0.15615248","3000","N","2020-12-15 14:58:41","govl4","2020-12-15 14:58:56","govl4","Y"
"PT2020121500021","govl3","PDT33","M","P","50","2020-12-15 14:19:36",\n,"0.15615248","3000","N","2020-12-15 14:19:16","govl3","2020-12-15 14:19:36","govl3","Y"
"PT2020121500020","govl2","PDT33","M","P","50","2020-12-15 14:18:29",\n,"0.15615248","3000","N","2020-12-15 14:18:01","govl2","2020-12-15 14:18:29","govl2","Y"
"PT2020121500019","govl1","PDT33","M","P","50","2020-12-15 14:11:21",\n,"0.15615248","3000","N","2020-12-15 14:10:57","govl1","2020-12-15 14:11:21","govl1","Y"
"PT2020121500018","han15","PDT34","M","P","120","2020-12-15 11:51:53",\n,"0.37476596","7200","N","2020-12-15 11:50:57","han15","2020-12-15 11:51:53","han15","Y"
"PT2020121500017","han14","PDT34","M","P","120","2020-12-15 11:49:24",\n,"0.37476596","7200","N","2020-12-15 11:49:01","han14","2020-12-15 11:49:24","han14","Y"
